q,efficency,q l/s
240111.3407,77.55555556,252.4503957
231646.0055,78.66666667,243.5500363
219019.7429,78.66666667,230.2749241
202949.9541,79.22222222,213.3793267
186019.2837,78.66666667,195.5786081
179132.2314,77.55555556,188.3376377
166792.9293,76.44444444,175.3642326
157036.2718,75.05555556,165.1061913
144123.0487,73.11111111,151.529372
127479.3388,69.22222222,134.0303604
116000.9183,66.44444444,121.9620766
105383.3792,62.83333333,110.798914
96487.60331,59.5,101.445994
81852.61708,53.94444444,86.05893212
68078.5124,47.55555556,71.57699151
51147.84206,38.11111111,53.77627283
35365.01377,28.11111111,37.18238254
27904.0404,22.83333333,29.33799804
15564.73829,13.11111111,16.3645929
355.8310376,0.888888889,0.374116799