Q (GPH),H (m)
9.09E-13,42.36686391
7668.314949,42.4260355
18501.3313,42.4852071
26534.80411,42.4852071
37002.66261,42.36686391
45766.45112,42.30769231
56477.74819,42.07100592
68162.79954,41.83431953
81551.92088,41.47928994
94454.16508,41.00591716
102974.515,40.71005917
117824.2678,40
133404.3362,39.11242604
148740.9661,38.04733728
164564.4732,36.80473373
181605.1731,35.14792899
198402.4344,33.19526627
212765.31,31.30177515
229319.1328,28.81656805
240030.4298,27.04142012
256097.3754,24.14201183
271677.4439,21.06508876
283971.0917,18.40236686